"Ad_ID","Campaign_Name","Clicks","Impressions","Cost","Leads","Conversions","conversion_rate","Sale_Amount","Ad_Date","Location","Device","Keyword"
"A1000","Data Analytics Course",104.0,4498.0,231.88,14.0,7.0,0.058,1892,"2024-11-16","Hyderabad","desktop","learn data analytics"
"A1001","Data Analytics Course",173.0,5107.0,216.84,10.0,8.0,0.046,1679,"2024-11-20","Hyderabad","mobile","data analytics course"
"A1002","Data Analytics Course",90.0,4544.0,203.66,26.0,9.0,0.0,1624,"2024-11-16","Hyderabad","desktop","data analytics online"
"A1003","Data Analytics Course",142.0,3185.0,237.66,17.0,6.0,0.0,1225,"2024-11-26","Hyderabad","tablet","data analytics training"
"A1004","Data Analytics Course",156.0,3361.0,195.9,30.0,8.0,0.0,1091,"2024-11-22","Hyderabad","desktop","online data analytics"
"A1005","Data Analytics Course",195.0,3776.0,243.57,10.0,8.0,0.0,1315,"2024-11-16","Hyderabad","mobile","data analytics training"
"A1006","Data Analytics Course",116.0,4480.0,237.79,17.0,5.0,0.043,1640,"2024-11-06","Hyderabad","tablet","data analytics course"
"A1007","Data Analytics Course",184.0,5060.0,229.61,23.0,3.0,0.016,1509,"2024-11-24","Hyderabad","tablet","analytics for data"
"A1008","Data Analytics Course",113.0,5434.0,0.0,27.0,4.0,0.058,1362,"2024-11-24","Hyderabad","tablet","data analytics training"
"A1009","Data Analytics Course",166.0,3355.0,186.78,24.0,9.0,0.054,1029,"2024-11-12","Hyderabad","mobile","online data analytics"
"A1010","Data Analytics Course",101.0,5399.0,236.79,20.0,6.0,0.059,1900,"2024-11-14","Hyderabad","desktop","learn data analytics"
"A1011","Data Analytics Course",101.0,3613.0,208.12,24.0,5.0,0.05,1130,"2024-11-22","Hyderabad","desktop","online data analytics"
"A1012","Data Analytics Course",125.0,3259.0,191.3,18.0,3.0,0.024,1959,"2024-11-27","Hyderabad","desktop","data analytics online"
"A1013","Data Analytics Course",196.0,3742.0,207.46,10.0,7.0,0.038,1623,"2024-11-12","Hyderabad","mobile","data analytics training"
"A1014","Data Analytics Course",181.0,4311.0,185.09,11.0,9.0,0.05,1538,"2024-11-04","Hyderabad","desktop","data analytics training"
"A1015","Data Analytics Course",102.0,5461.0,201.69,22.0,8.0,0.078,1755,"2024-11-29","Hyderabad","desktop","data analytics course"
"A1016","Data Analytics Course",193.0,5159.0,0.0,15.0,9.0,0.047,1614,"2024-11-10","Hyderabad","mobile","learn data analytics"
"A1017","Data Analytics Course",149.0,4431.0,207.4,19.0,9.0,0.06,1693,"2024-11-12","Hyderabad","mobile","learn data analytics"
"A1018","Data Analytics Course",150.0,3113.0,217.41,20.0,5.0,0.0,1785,"2024-11-07","Hyderabad","mobile","analytics for data"
"A1019","Data Analytics Course",145.0,5278.0,0.0,25.0,6.0,0.041,1516,"2024-11-05","Hyderabad","desktop","data analytics course"
"A1020","Data Analytics Course",184.0,4143.0,223.3,10.0,10.0,0.044,1735,"2024-11-21","Hyderabad","tablet","learn data analytics"
"A1021","Data Analytics Course",171.0,4154.0,184.23,30.0,7.0,0.041,1803,"2024-11-08","Hyderabad","tablet","data analytics online"
"A1022","Data Analytics Course",122.0,5187.0,211.24,27.0,6.0,0.049,1322,"2024-11-20","Hyderabad","desktop","online data analytics"
